"DisMod II input and output, database QIMD 1 2011 affluent","","","","","","","","","","",""
"Females, Disease: Stroke (Rates * ), sex: Females","","","","","","","","","","",""
"Written 05/12/2016, 22:28:23","","","","","","","","","","",""
"Age","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"16","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","3.5905","0.2894","0.0000","40348.7803","16.5000"
"17","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","3.1832","0.3467","0.0000","29908.0449","17.5000"
"18","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.6104","0.5723","0.0000","21238.8443","18.5000"
"19","0.0001","0.0000","0.0000","0.0000","0.0000","0.0000","1.9586","1.7720","0.0000","14235.7072","19.5000"
"20","0.0001","0.0000","0.0000","0.0000","0.0000","0.0000","1.3145","6.2013","0.0000","8716.0887","20.5000"
"21","0.0002","0.0000","0.0000","0.0000","0.0000","0.0000","0.7646","15.1708","0.0000","4676.3380","21.5000"
"22","0.0002","0.0000","0.0000","0.0001","0.0001","0.0000","0.3757","25.0924","0.0000","2121.5586","22.5000"
"23","0.0003","0.0000","0.0000","0.0001","0.0001","0.0000","0.1351","31.1405","0.0000","700.0678","23.5000"
"24","0.0004","0.0000","0.0000","0.0001","0.0002","0.0000","0.0102","32.4513","0.0000","49.0048","24.5000"
"25","0.0004","0.0000","0.0000","0.0001","0.0002","0.0000","0.0000","31.6227","0.0000","1.0000","25.5000"
"26","0.0005","0.0000","0.0000","0.0001","0.0003","0.0000","0.0000","30.6305","0.0000","1.0000","26.5000"
"27","0.0006","0.0000","0.0000","0.0001","0.0004","0.0000","0.0040","29.6987","0.0000","16.0009","27.5000"
"28","0.0007","0.0000","0.0000","0.0001","0.0005","0.0000","0.0222","29.0905","0.0000","79.3391","28.5000"
"29","0.0009","0.0000","0.0000","0.0001","0.0006","0.0000","0.0290","28.8402","0.0000","99.1038","29.5000"
"30","0.0010","0.0000","0.0000","0.0001","0.0007","0.0000","0.0275","28.6612","0.0000","90.9777","30.5000"
"31","0.0011","0.0000","0.0000","0.0001","0.0007","0.0000","0.0209","28.3603","0.0000","67.2239","31.5000"
"32","0.0012","0.0000","0.0000","0.0001","0.0008","0.0000","0.0123","27.8358","0.0000","38.6225","32.5000"
"33","0.0012","0.0000","0.0000","0.0001","0.0009","0.0000","0.0048","27.0801","0.0000","15.1526","33.5000"
"34","0.0011","0.0000","0.0000","0.0000","0.0009","0.0000","0.0010","26.1667","0.0000","3.6926","34.5000"
"35","0.0010","0.0000","0.0000","0.0000","0.0010","0.0000","0.0005","25.1947","0.0000","2.2642","35.5000"
"36","0.0008","0.0000","0.0000","0.0000","0.0010","0.0000","0.0024","24.2396","0.0000","7.0772","36.5000"
"37","0.0007","0.0000","0.0000","0.0000","0.0011","0.0000","0.0058","23.3464","0.0000","14.8108","37.5000"
"38","0.0005","0.0000","0.0000","0.0000","0.0011","0.0000","0.0097","22.5333","0.0000","22.7035","38.5000"
"39","0.0004","0.0000","0.0000","0.0000","0.0011","0.0000","0.0131","21.7960","0.0000","28.5361","39.5000"
"40","0.0004","0.0000","0.0000","0.0000","0.0012","0.0000","0.0155","21.1136","0.0000","31.1883","40.5000"
"41","0.0004","0.0000","0.0000","0.0000","0.0012","0.0000","0.0173","20.4650","0.0000","32.0062","41.5000"
